player,role,team,year,price
Christopher Morris,All-Rounder,chennai-super-kings,2013,36250000
Dirk Nannes,Bowler,chennai-super-kings,2013,34800000
Ben Laughlin,Bowler,chennai-super-kings,2013,1160000
Akila Dananjaya,All-Rounder,chennai-super-kings,2013,1160000
Jason Holder,Bowler,chennai-super-kings,2013,1160000
Johan Botha,All-Rounder,delhi-capitals,2013,26100000
Jesse Ryder,All-Rounder,delhi-capitals,2013,15080000
Jeevan Mendis,All-Rounder,delhi-capitals,2013,2900000
Manpreet Gony,Bowler,punjab-kings,2013,29000000
Luke Pomersbach,Batsman,punjab-kings,2013,17400000
Sachithra Senanayaka,All-Rounder,kolkata-knight-riders,2013,36250000
Ryan McLaren,Bowler,kolkata-knight-riders,2013,2900000
Glenn Maxwell,All-Rounder,mumbai-indians,2013,58000000
Nathan Coulter-Nile,Bowler,mumbai-indians,2013,26100000
Ricky Ponting,Batsman,mumbai-indians,2013,23200000
Philip Hughes,Batsman,mumbai-indians,2013,5800000
Jacob Oram,All-Rounder,mumbai-indians,2013,2900000
Ajantha Mendis,Bowler,lucknow-super-giants,2013,42050000
Kane Richardson,Bowler,lucknow-super-giants,2013,40600000
Abhishek Nayar,All-Rounder,lucknow-super-giants,2013,39150000
Michael Clarke,Batsman,lucknow-super-giants,2013,23200000
James Faulkner,All-Rounder,rajasthan-royals,2013,23200000
Fidel Edwards,Bowler,rajasthan-royals,2013,12180000
Kusal Janith Perera,Wicket Keeper,rajasthan-royals,2013,1160000
Jaydev Unadkat,Bowler,royal-challengers-bengaluru,2013,30450000
Rudra Pratap Singh,Bowler,royal-challengers-bengaluru,2013,23200000
Moises Henriques,All-Rounder,royal-challengers-bengaluru,2013,17400000
Ravi Rampaul,Bowler,royal-challengers-bengaluru,2013,16820000
Pankaj Singh,Bowler,royal-challengers-bengaluru,2013,8700000
Daniel Christian,All-Rounder,royal-challengers-bengaluru,2013,5800000
Christopher Barnwell,All-Rounder,royal-challengers-bengaluru,2013,2900000
Thisara Perera,All-Rounder,sunrisers-hyderabad,2013,39150000
Darren Sammy,All-Rounder,sunrisers-hyderabad,2013,24650000
Sudeep Tyagi,Bowler,sunrisers-hyderabad,2013,5800000
Clinton McKay,Bowler,sunrisers-hyderabad,2013,5800000
Nathan McCullum,Bowler,sunrisers-hyderabad,2013,5800000
Quinton De Kock,Wicket Keeper,sunrisers-hyderabad,2013,1160000
Faf Du Plessis,Batsman,chennai-super-kings,2014,47500000
Dwayne Smith,Batsman,chennai-super-kings,2014,45000000
Brendon McCullum,Wicket Keeper,chennai-super-kings,2014,32500000
Ashish Nehra,Bowler,chennai-super-kings,2014,20000000
Mohit Sharma,Bowler,chennai-super-kings,2014,20000000
Ishwar Chandra Pandey,Bowler,chennai-super-kings,2014,15000000
Ben Hilfenhaus,Bowler,chennai-super-kings,2014,10000000
John Hastings,All-Rounder,chennai-super-kings,2014,5000000
Samuel Badree,Bowler,chennai-super-kings,2014,3000000
Matt Henry,Bowler,chennai-super-kings,2014,3000000
Mithun Manhas,All-Rounder,chennai-super-kings,2014,3000000
Vijay Shankar,All-Rounder,chennai-super-kings,2014,1000000
Ronit More,Bowler,chennai-super-kings,2014,1000000
Baba Aparajith,Batsman,chennai-super-kings,2014,1000000
Pawan Negi,Bowler,chennai-super-kings,2014,1000000
Dinesh Karthik,Wicket Keeper,delhi-capitals,2014,125000000
Kevin Pietersen,Batsman,delhi-capitals,2014,90000000
Murali Vijay,Batsman,delhi-capitals,2014,50000000
Mohammad Shami,Bowler,delhi-capitals,2014,42500000
Nathan Coulter-Nile,Bowler,delhi-capitals,2014,42500000
Quinton De Kock,Wicket Keeper,delhi-capitals,2014,35000000
Manoj Tiwary,Batsman,delhi-capitals,2014,28000000
Jaydev Unadkat,Bowler,delhi-capitals,2014,28000000
